시도,수두,홍역,콜레라,장티푸스,파라티푸스,세균성이질,장출혈성대장균감염증,A형간염,백일해,유행성이하선염,풍진(선천성),풍진(후천성),폴리오,수막구균 감염증,b형헤모필루스인플루엔자,폐렴구균 감염증,한센병,성홍열,반코마이신내성황색포도알균(VRSA) 감염증,카바페넴내성장내세균목(CRE) 감염증,E형간염
전국,"15,101",47.0,0.0,21.0,10.0,16.0,63.0,633.0,"2,414","3,396",0.0,0.0,0.0,7.0,2.0,171.0,1.0,"2,070",0.0,"23,302",286.0
서울,"1,614",7.0,0.0,6.0,0.0,2.0,11.0,91.0,127,438,0.0,0.0,0.0,3.0,0.0,19.0,0.0,300,0.0,"6,091",55.0
부산,795,2.0,0.0,3.0,6.0,1.0,3.0,32.0,156,129,0.0,0.0,0.0,0.0,0.0,9.0,0.0,133,0.0,"1,643",9.0
대구,"1,012",1.0,0.0,0.0,0.0,0.0,6.0,21.0,66,176,0.0,0.0,0.0,0.0,0.0,8.0,0.0,15,0.0,"1,001",7.0
인천,562,2.0,0.0,1.0,1.0,1.0,0.0,36.0,176,181,0.0,0.0,0.0,0.0,0.0,11.0,0.0,159,0.0,"1,972",15.0
광주,567,0.0,0.0,0.0,0.0,1.0,10.0,9.0,77,110,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33,0.0,497,10.0
대전,285,0.0,0.0,0.0,0.0,0.0,5.0,32.0,66,51,0.0,0.0,0.0,0.0,0.0,6.0,0.0,27,0.0,491,6.0
울산,549,0.0,0.0,1.0,0.0,1.0,3.0,12.0,5,122,0.0,0.0,0.0,0.0,0.0,1.0,0.0,54,0.0,350,5.0
경기,"3,868",7.0,0.0,5.0,2.0,7.0,11.0,199.0,576,"1,057",0.0,0.0,0.0,4.0,0.0,38.0,1.0,811,0.0,"6,277",89.0
강원,443,0.0,0.0,1.0,0.0,1.0,2.0,19.0,7,138,0.0,0.0,0.0,0.0,0.0,4.0,0.0,117,0.0,469,9.0
충북,515,3.0,0.0,1.0,0.0,0.0,0.0,29.0,83,106,0.0,0.0,0.0,0.0,0.0,6.0,0.0,63,0.0,297,8.0
충남,504,2.0,0.0,0.0,0.0,0.0,3.0,30.0,39,153,0.0,0.0,0.0,0.0,0.0,10.0,0.0,64,0.0,530,14.0
전북,606,0.0,0.0,0.0,0.0,1.0,0.0,39.0,36,122,0.0,0.0,0.0,0.0,0.0,12.0,0.0,20,0.0,938,17.0
전남,723,0.0,0.0,2.0,0.0,0.0,1.0,22.0,93,140,0.0,0.0,0.0,0.0,0.0,9.0,0.0,16,0.0,414,14.0
경북,830,21.0,0.0,0.0,0.0,0.0,6.0,19.0,89,148,0.0,0.0,0.0,0.0,1.0,11.0,0.0,146,0.0,805,12.0
경남,"1,266",2.0,0.0,1.0,0.0,1.0,1.0,21.0,810,230,0.0,0.0,0.0,0.0,1.0,16.0,0.0,92,0.0,"1,393",13.0
제주,832,0.0,0.0,0.0,1.0,0.0,1.0,15.0,6,65,0.0,0.0,0.0,0.0,0.0,10.0,0.0,18,0.0,114,3.0
세종,130,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,20,0.0
미상,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
