시도,수두,홍역,콜레라,장티푸스,파라티푸스,세균성이질,장출혈성대장균감염증,A형간염,백일해,유행성이하선염,풍진(선천성),풍진(후천성),폴리오,수막구균 감염증,b형헤모필루스인플루엔자,폐렴구균 감염증,한센병,성홍열,반코마이신내성황색포도알균(VRSA) 감염증,카바페넴내성장내세균목(CRE) 감염증,E형간염
전국,"18,547",0.0,0.0,38.0,31.0,31.0,211.0,"1,890",31.0,"6,358",0.0,0.0,0.0,3.0,1.0,339.0,2.0,505.0,1.0,"30,548",528.0
서울,"2,426",0.0,0.0,9.0,4.0,4.0,30.0,371,3.0,848,0.0,0.0,0.0,1.0,0.0,64.0,0.0,81.0,1.0,"9,153",71.0
부산,"1,101",0.0,0.0,5.0,2.0,2.0,9.0,65,0.0,334,0.0,0.0,0.0,0.0,0.0,14.0,0.0,25.0,0.0,"2,501",10.0
대구,835,0.0,0.0,1.0,2.0,0.0,7.0,61,3.0,257,0.0,0.0,0.0,1.0,0.0,17.0,1.0,7.0,0.0,"1,799",17.0
인천,899,0.0,0.0,5.0,3.0,3.0,11.0,125,0.0,332,0.0,0.0,0.0,0.0,0.0,26.0,0.0,17.0,0.0,"2,679",20.0
광주,642,0.0,0.0,0.0,1.0,0.0,38.0,39,0.0,186,0.0,0.0,0.0,0.0,1.0,14.0,0.0,29.0,0.0,490,15.0
대전,533,0.0,0.0,2.0,0.0,2.0,5.0,44,0.0,182,0.0,0.0,0.0,0.0,0.0,9.0,0.0,36.0,0.0,710,5.0
울산,480,0.0,0.0,0.0,0.0,0.0,3.0,17,1.0,195,0.0,0.0,0.0,0.0,0.0,4.0,0.0,15.0,0.0,344,6.0
경기,"5,507",0.0,0.0,7.0,12.0,8.0,34.0,628,3.0,"1,818",0.0,0.0,0.0,1.0,0.0,94.0,0.0,183.0,0.0,"6,600",157.0
강원,486,0.0,0.0,0.0,2.0,0.0,6.0,38,1.0,216,0.0,0.0,0.0,0.0,0.0,11.0,0.0,13.0,0.0,706,48.0
충북,478,0.0,0.0,0.0,0.0,1.0,3.0,81,3.0,158,0.0,0.0,0.0,0.0,0.0,11.0,0.0,5.0,0.0,302,17.0
충남,745,0.0,0.0,1.0,0.0,1.0,9.0,122,3.0,294,0.0,0.0,0.0,0.0,0.0,14.0,0.0,23.0,0.0,803,19.0
전북,661,0.0,0.0,3.0,0.0,4.0,9.0,117,3.0,251,0.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,"1,213",31.0
전남,705,0.0,0.0,1.0,3.0,2.0,12.0,40,1.0,318,0.0,0.0,0.0,0.0,0.0,10.0,0.0,19.0,0.0,425,26.0
경북,981,0.0,0.0,1.0,0.0,1.0,13.0,59,2.0,289,0.0,0.0,0.0,0.0,0.0,11.0,1.0,16.0,0.0,786,34.0
경남,"1,595",0.0,0.0,3.0,2.0,3.0,12.0,42,8.0,524,0.0,0.0,0.0,0.0,0.0,23.0,0.0,19.0,0.0,"1,852",40.0
제주,254,0.0,0.0,0.0,0.0,0.0,9.0,29,0.0,90,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,148,7.0
세종,219,0.0,0.0,0.0,0.0,0.0,1.0,12,0.0,66,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,37,5.0
미상,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
