시도,수두,홍역,콜레라,장티푸스,파라티푸스,세균성이질,장출혈성대장균감염증,A형간염,백일해,유행성이하선염,풍진(선천성),풍진(후천성),폴리오,수막구균 감염증,b형헤모필루스인플루엔자,폐렴구균 감염증,한센병,성홍열,반코마이신내성황색포도알균(VRSA) 감염증,카바페넴내성장내세균목(CRE) 감염증,E형간염
전국,"82,868",194.0,1.0,94.0,55.0,151.0,146.0,"17,598",496.0,"15,967",0.0,8.0,0.0,16.0,0.0,526.0,4.0,"7,562",3.0,"15,369",0.0
서울,"9,783",22.0,1.0,19.0,10.0,51.0,31.0,"3,139",66.0,"2,033",0.0,2.0,0.0,4.0,0.0,134.0,0.0,"1,250",1.0,"4,744",0.0
부산,"3,915",6.0,0.0,9.0,5.0,13.0,3.0,497,33.0,878,0.0,0.0,0.0,0.0,0.0,30.0,2.0,425,0.0,"1,836",0.0
대구,"4,525",15.0,0.0,2.0,2.0,10.0,5.0,194,24.0,689,0.0,0.0,0.0,0.0,0.0,6.0,1.0,226,0.0,977,0.0
인천,"3,809",9.0,0.0,8.0,1.0,9.0,12.0,995,20.0,795,0.0,1.0,0.0,1.0,0.0,32.0,0.0,387,0.0,"1,206",0.0
광주,"3,079",2.0,0.0,0.0,3.0,4.0,9.0,161,29.0,466,0.0,0.0,0.0,0.0,0.0,8.0,0.0,401,0.0,181,0.0
대전,"2,096",23.0,0.0,6.0,2.0,3.0,2.0,"2,670",16.0,468,0.0,1.0,0.0,0.0,0.0,10.0,0.0,323,0.0,264,0.0
울산,"1,941",3.0,0.0,3.0,1.0,3.0,6.0,85,10.0,492,0.0,0.0,0.0,0.0,0.0,4.0,0.0,308,0.0,294,0.0
경기,"23,517",69.0,0.0,24.0,14.0,31.0,29.0,"5,406",74.0,"4,636",0.0,0.0,0.0,6.0,0.0,142.0,0.0,"2,178",0.0,"2,498",0.0
강원,"1,782",3.0,0.0,1.0,2.0,1.0,4.0,268,5.0,529,0.0,0.0,0.0,2.0,0.0,30.0,0.0,125,0.0,372,0.0
충북,"2,080",1.0,0.0,2.0,3.0,2.0,7.0,"1,079",11.0,433,0.0,0.0,0.0,0.0,0.0,10.0,0.0,121,0.0,109,0.0
충남,"3,009",3.0,0.0,5.0,0.0,2.0,4.0,"1,437",20.0,721,0.0,0.0,0.0,1.0,0.0,17.0,0.0,322,0.0,236,0.0
전북,"3,207",5.0,0.0,3.0,2.0,2.0,5.0,558,16.0,740,0.0,0.0,0.0,0.0,0.0,24.0,0.0,239,2.0,391,0.0
전남,"3,106",11.0,0.0,2.0,0.0,10.0,13.0,164,32.0,617,0.0,1.0,0.0,0.0,0.0,13.0,0.0,239,0.0,347,0.0
경북,"5,539",12.0,0.0,4.0,3.0,2.0,6.0,248,45.0,844,0.0,2.0,0.0,0.0,0.0,17.0,1.0,338,0.0,476,0.0
경남,"9,058",8.0,0.0,6.0,6.0,5.0,4.0,234,77.0,"1,264",0.0,0.0,0.0,1.0,0.0,30.0,0.0,525,0.0,"1,296",0.0
제주,"1,552",1.0,0.0,0.0,1.0,3.0,3.0,72,12.0,269,0.0,1.0,0.0,0.0,0.0,17.0,0.0,105,0.0,141,0.0
세종,870,1.0,0.0,0.0,0.0,0.0,3.0,391,6.0,93,0.0,0.0,0.0,1.0,0.0,2.0,0.0,50,0.0,1,0.0
미상,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
