시도,수두,홍역,콜레라,장티푸스,파라티푸스,세균성이질,장출혈성대장균감염증,A형간염,백일해,유행성이하선염,풍진(선천성),풍진(후천성),폴리오,수막구균 감염증,b형헤모필루스인플루엔자,폐렴구균 감염증,한센병,성홍열,반코마이신내성황색포도알균(VRSA) 감염증,카바페넴내성장내세균목(CRE) 감염증,E형간염
전국,"26,964",8.0,0.0,19.0,22.0,37.0,216.0,"1,324",292.0,"7,737",0.0,0.0,0.0,11.0,1.0,431.0,3.0,815.0,2.0,"38,405",572.0
서울,"3,135",0.0,0.0,1.0,3.0,4.0,30.0,219,20.0,"1,063",0.0,0.0,0.0,4.0,0.0,73.0,0.0,130.0,2.0,"11,218",103.0
부산,"1,328",0.0,0.0,1.0,0.0,1.0,6.0,55,4.0,335,0.0,0.0,0.0,0.0,0.0,21.0,0.0,33.0,0.0,"3,070",9.0
대구,"1,511",0.0,0.0,1.0,0.0,0.0,9.0,63,4.0,325,0.0,0.0,0.0,0.0,0.0,18.0,0.0,15.0,0.0,"1,868",28.0
인천,"1,200",0.0,0.0,0.0,2.0,4.0,8.0,64,6.0,429,0.0,0.0,0.0,0.0,0.0,42.0,0.0,34.0,0.0,"2,983",30.0
광주,861,0.0,0.0,2.0,0.0,0.0,21.0,23,23.0,223,0.0,0.0,0.0,0.0,0.0,12.0,0.0,37.0,0.0,894,21.0
대전,671,1.0,0.0,0.0,1.0,10.0,8.0,35,2.0,194,0.0,0.0,0.0,0.0,0.0,11.0,0.0,26.0,0.0,985,11.0
울산,606,0.0,0.0,3.0,0.0,1.0,2.0,25,0.0,271,0.0,0.0,0.0,0.0,0.0,5.0,0.0,16.0,0.0,468,9.0
경기,"7,505",3.0,0.0,6.0,7.0,8.0,43.0,420,35.0,"2,378",0.0,0.0,0.0,6.0,1.0,123.0,0.0,303.0,0.0,"8,878",159.0
강원,893,0.0,0.0,0.0,4.0,0.0,11.0,36,1.0,315,0.0,0.0,0.0,0.0,0.0,17.0,0.0,21.0,0.0,768,42.0
충북,"1,130",1.0,0.0,0.0,0.0,1.0,4.0,48,5.0,223,0.0,0.0,0.0,0.0,0.0,17.0,0.0,31.0,0.0,461,12.0
충남,994,1.0,0.0,0.0,0.0,1.0,10.0,51,7.0,353,0.0,0.0,0.0,1.0,0.0,14.0,0.0,52.0,0.0,902,21.0
전북,926,0.0,0.0,1.0,0.0,1.0,14.0,95,4.0,246,0.0,0.0,0.0,0.0,0.0,17.0,1.0,20.0,0.0,"1,375",15.0
전남,"1,469",0.0,0.0,1.0,2.0,2.0,10.0,51,1.0,339,0.0,0.0,0.0,0.0,0.0,7.0,0.0,32.0,0.0,637,36.0
경북,"1,426",1.0,0.0,1.0,1.0,1.0,17.0,64,9.0,274,0.0,0.0,0.0,0.0,0.0,14.0,1.0,24.0,0.0,"1,035",25.0
경남,"2,174",1.0,0.0,2.0,1.0,0.0,15.0,42,169.0,550,0.0,0.0,0.0,0.0,0.0,28.0,1.0,22.0,0.0,"2,580",46.0
제주,918,0.0,0.0,0.0,0.0,1.0,5.0,23,1.0,158,0.0,0.0,0.0,0.0,0.0,9.0,0.0,14.0,0.0,244,1.0
세종,217,0.0,0.0,0.0,1.0,2.0,3.0,10,1.0,61,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,39,4.0
미상,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
