시도,수두,홍역,콜레라,장티푸스,파라티푸스,세균성이질,장출혈성대장균감염증,A형간염,백일해,유행성이하선염,풍진(선천성),풍진(후천성),폴리오,수막구균 감염증,b형헤모필루스인플루엔자,폐렴구균 감염증,한센병,성홍열,반코마이신내성황색포도알균(VRSA) 감염증,카바페넴내성장내세균목(CRE) 감염증,E형간염
전국,"54,060",18.0,4.0,121.0,56.0,113.0,104.0,"4,679",129.0,"17,057",0.0,0.0,0.0,6.0,0.0,441.0,4.0,"11,911",0.0,0.0,0.0
서울,"6,266",7.0,0.0,20.0,15.0,21.0,12.0,816,36.0,"1,548",0.0,0.0,0.0,4.0,0.0,111.0,1.0,"1,354",0.0,0.0,0.0
부산,"3,188",1.0,1.0,12.0,7.0,9.0,4.0,382,8.0,"1,034",0.0,0.0,0.0,0.0,0.0,36.0,0.0,818,0.0,0.0,0.0
대구,"2,772",0.0,0.0,4.0,6.0,4.0,4.0,109,2.0,494,0.0,0.0,0.0,1.0,0.0,10.0,1.0,468,0.0,0.0,0.0
인천,"2,597",0.0,0.0,7.0,1.0,11.0,13.0,301,5.0,700,0.0,0.0,0.0,0.0,0.0,31.0,0.0,500,0.0,0.0,0.0
광주,"1,531",0.0,1.0,3.0,2.0,3.0,11.0,163,5.0,"1,611",0.0,0.0,0.0,0.0,0.0,5.0,1.0,710,0.0,0.0,0.0
대전,"1,808",0.0,0.0,5.0,5.0,2.0,3.0,232,1.0,329,0.0,0.0,0.0,0.0,0.0,10.0,0.0,400,0.0,0.0,0.0
울산,"1,742",1.0,0.0,3.0,0.0,0.0,6.0,63,1.0,557,0.0,0.0,0.0,0.0,0.0,12.0,0.0,552,0.0,0.0,0.0
경기,"14,826",2.0,0.0,26.0,3.0,27.0,21.0,"1,261",17.0,"3,841",0.0,0.0,0.0,0.0,0.0,86.0,0.0,"3,504",0.0,0.0,0.0
강원,"1,978",0.0,0.0,1.0,1.0,1.0,1.0,87,0.0,640,0.0,0.0,0.0,0.0,0.0,25.0,0.0,108,0.0,0.0,0.0
충북,"1,243",0.0,0.0,3.0,4.0,5.0,3.0,139,4.0,314,0.0,0.0,0.0,0.0,0.0,4.0,1.0,215,0.0,0.0,0.0
충남,"2,009",3.0,0.0,11.0,1.0,5.0,4.0,270,4.0,640,0.0,0.0,0.0,0.0,0.0,19.0,0.0,576,0.0,0.0,0.0
전북,"2,035",0.0,0.0,0.0,4.0,5.0,4.0,242,5.0,957,0.0,0.0,0.0,0.0,0.0,9.0,0.0,333,0.0,0.0,0.0
전남,"2,443",0.0,0.0,5.0,3.0,8.0,6.0,202,8.0,767,0.0,0.0,0.0,0.0,0.0,13.0,0.0,561,0.0,0.0,0.0
경북,"3,086",0.0,0.0,6.0,0.0,3.0,2.0,127,11.0,767,0.0,0.0,0.0,1.0,0.0,21.0,0.0,669,0.0,0.0,0.0
경남,"4,676",4.0,2.0,14.0,3.0,7.0,4.0,224,9.0,"2,632",0.0,0.0,0.0,0.0,0.0,42.0,0.0,985,0.0,0.0,0.0
제주,"1,320",0.0,0.0,1.0,1.0,2.0,6.0,32,12.0,186,0.0,0.0,0.0,0.0,0.0,6.0,0.0,106,0.0,0.0,0.0
세종,540,0.0,0.0,0.0,0.0,0.0,0.0,29,1.0,40,0.0,0.0,0.0,0.0,0.0,1.0,0.0,52,0.0,0.0,0.0
미상,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
