시도,수두,홍역,콜레라,장티푸스,파라티푸스,세균성이질,장출혈성대장균감염증,A형간염,백일해,유행성이하선염,풍진(선천성),풍진(후천성),폴리오,수막구균 감염증,b형헤모필루스인플루엔자,폐렴구균 감염증,한센병,성홍열,반코마이신내성황색포도알균(VRSA) 감염증,카바페넴내성장내세균목(CRE) 감염증,E형간염
전국,"80,092",7.0,5.0,128.0,73.0,112.0,138.0,"4,419",318.0,"16,924",0.0,0.0,0.0,17.0,3.0,523.0,3.0,"22,838",0.0,"5,717",0.0
서울,"9,995",2.0,1.0,25.0,8.0,31.0,19.0,993,73.0,"1,848",0.0,0.0,0.0,6.0,1.0,142.0,0.0,"2,744",0.0,"1,776",0.0
부산,"3,810",1.0,0.0,10.0,15.0,5.0,3.0,92,15.0,988,0.0,0.0,0.0,1.0,0.0,48.0,0.0,"1,556",0.0,846,0.0
대구,"4,478",2.0,0.0,8.0,3.0,6.0,6.0,66,5.0,656,0.0,0.0,0.0,1.0,0.0,12.0,0.0,778,0.0,229,0.0
인천,"5,356",0.0,0.0,10.0,7.0,6.0,8.0,461,34.0,848,0.0,0.0,0.0,0.0,1.0,30.0,0.0,"1,179",0.0,614,0.0
광주,"2,873",0.0,0.0,3.0,2.0,3.0,14.0,82,17.0,816,0.0,0.0,0.0,0.0,0.0,6.0,0.0,968,0.0,80,0.0
대전,"2,633",0.0,0.0,1.0,1.0,5.0,3.0,241,2.0,459,0.0,0.0,0.0,1.0,0.0,3.0,0.0,916,0.0,75,0.0
울산,"2,434",0.0,0.0,3.0,0.0,0.0,3.0,22,10.0,563,0.0,0.0,0.0,1.0,0.0,7.0,0.0,786,0.0,72,0.0
경기,"22,645",0.0,2.0,34.0,15.0,26.0,42.0,"1,343",89.0,"4,536",0.0,0.0,0.0,3.0,1.0,109.0,1.0,"6,885",0.0,827,0.0
강원,"1,892",0.0,0.0,3.0,2.0,4.0,11.0,102,3.0,657,0.0,0.0,0.0,1.0,0.0,22.0,0.0,396,0.0,130,0.0
충북,"1,832",0.0,1.0,6.0,1.0,2.0,3.0,141,6.0,426,0.0,0.0,0.0,0.0,0.0,8.0,0.0,500,0.0,49,0.0
충남,"3,354",1.0,0.0,3.0,2.0,3.0,1.0,327,5.0,711,0.0,0.0,0.0,0.0,0.0,14.0,1.0,"1,060",0.0,106,0.0
전북,"3,895",0.0,0.0,3.0,3.0,6.0,3.0,199,9.0,747,0.0,0.0,0.0,0.0,0.0,21.0,0.0,670,0.0,276,0.0
전남,"3,309",0.0,0.0,4.0,5.0,4.0,7.0,104,12.0,805,0.0,0.0,0.0,0.0,0.0,16.0,0.0,824,0.0,89,0.0
경북,"3,868",1.0,0.0,1.0,2.0,4.0,4.0,107,14.0,905,0.0,0.0,0.0,1.0,0.0,21.0,0.0,"1,291",0.0,113,0.0
경남,"5,567",0.0,1.0,4.0,5.0,5.0,5.0,80,14.0,"1,637",0.0,0.0,0.0,1.0,0.0,50.0,1.0,"1,787",0.0,412,0.0
제주,"1,528",0.0,0.0,8.0,2.0,2.0,4.0,26,1.0,224,0.0,0.0,0.0,1.0,0.0,14.0,0.0,362,0.0,22,0.0
세종,623,0.0,0.0,2.0,0.0,0.0,2.0,33,9.0,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136,0.0,1,0.0
미상,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
