시도,수두,홍역,콜레라,장티푸스,파라티푸스,세균성이질,장출혈성대장균감염증,A형간염,백일해,유행성이하선염,풍진(선천성),풍진(후천성),폴리오,수막구균 감염증,b형헤모필루스인플루엔자,폐렴구균 감염증,한센병,성홍열,반코마이신내성황색포도알균(VRSA) 감염증,카바페넴내성장내세균목(CRE) 감염증,E형간염
전국,"31,430",6.0,0.0,39.0,58.0,29.0,270.0,"3,989",123.0,"9,922",0.0,2.0,0.0,5.0,1.0,345.0,3.0,"2,300",9.0,"18,113",191.0
서울,"3,870",1.0,0.0,8.0,4.0,3.0,21.0,809,16.0,"1,214",0.0,0.0,0.0,1.0,0.0,66.0,0.0,329,4.0,"5,144",27.0
부산,"1,724",0.0,0.0,3.0,9.0,5.0,6.0,89,5.0,496,0.0,1.0,0.0,0.0,0.0,19.0,0.0,132,1.0,"2,224",5.0
대구,"1,523",0.0,0.0,1.0,7.0,0.0,8.0,77,5.0,422,0.0,0.0,0.0,0.0,0.0,13.0,0.0,39,0.0,"1,278",3.0
인천,"1,632",0.0,0.0,3.0,2.0,1.0,6.0,398,6.0,494,0.0,0.0,0.0,1.0,0.0,24.0,0.0,113,0.0,"1,195",13.0
광주,"1,340",0.0,0.0,0.0,3.0,1.0,18.0,76,9.0,331,0.0,0.0,0.0,0.0,0.0,4.0,0.0,299,1.0,381,8.0
대전,971,0.0,0.0,3.0,0.0,0.0,8.0,141,7.0,266,0.0,0.0,0.0,0.0,0.0,9.0,0.0,86,0.0,282,2.0
울산,670,0.0,0.0,1.0,0.0,2.0,6.0,35,2.0,291,0.0,0.0,0.0,0.0,0.0,6.0,0.0,84,0.0,237,3.0
경기,"8,206",3.0,0.0,11.0,13.0,8.0,131.0,"1,330",19.0,"2,952",0.0,1.0,0.0,2.0,0.0,93.0,0.0,580,3.0,"3,318",54.0
강원,933,0.0,0.0,1.0,3.0,0.0,6.0,95,0.0,327,0.0,0.0,0.0,0.0,0.0,16.0,0.0,53,0.0,390,18.0
충북,"1,188",0.0,0.0,1.0,1.0,0.0,3.0,150,0.0,296,0.0,0.0,0.0,0.0,0.0,9.0,1.0,31,0.0,141,7.0
충남,"1,170",0.0,0.0,1.0,4.0,2.0,7.0,277,2.0,458,0.0,0.0,0.0,0.0,0.0,19.0,1.0,75,0.0,304,5.0
전북,"1,232",0.0,0.0,0.0,0.0,2.0,2.0,207,3.0,429,0.0,0.0,0.0,0.0,0.0,9.0,0.0,59,0.0,795,14.0
전남,"1,253",1.0,0.0,0.0,5.0,2.0,12.0,66,21.0,404,0.0,0.0,0.0,0.0,1.0,11.0,1.0,100,0.0,363,6.0
경북,"1,714",0.0,0.0,2.0,3.0,1.0,15.0,110,9.0,493,0.0,0.0,0.0,1.0,0.0,19.0,0.0,83,0.0,611,9.0
경남,"2,985",1.0,0.0,3.0,4.0,2.0,6.0,73,18.0,810,0.0,0.0,0.0,0.0,0.0,14.0,0.0,166,0.0,"1,275",14.0
제주,739,0.0,0.0,1.0,0.0,0.0,13.0,33,1.0,172,0.0,0.0,0.0,0.0,0.0,13.0,0.0,59,0.0,170,1.0
세종,280,0.0,0.0,0.0,0.0,0.0,2.0,23,0.0,67,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12,0.0,5,2.0
미상,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
