시도,수두,홍역,콜레라,장티푸스,파라티푸스,세균성이질,장출혈성대장균감염증,A형간염,백일해,유행성이하선염,풍진(선천성),풍진(후천성),폴리오,수막구균 감염증,b형헤모필루스인플루엔자,폐렴구균 감염증,한센병,성홍열,반코마이신내성황색포도알균(VRSA) 감염증,카바페넴내성장내세균목(CRE) 감염증,E형간염
전국,"46,330",7.0,0.0,121.0,44.0,88.0,71.0,"1,804",205.0,"23,448",0.0,0.0,0.0,6.0,0.0,228.0,2.0,"7,002",0.0,0.0,0.0
서울,"5,603",3.0,0.0,24.0,7.0,19.0,6.0,335,22.0,"1,621",0.0,0.0,0.0,0.0,0.0,40.0,0.0,781,0.0,0.0,0.0
부산,"2,936",1.0,0.0,3.0,5.0,4.0,2.0,39,18.0,"1,654",0.0,0.0,0.0,3.0,0.0,18.0,0.0,498,0.0,0.0,0.0
대구,"2,242",0.0,0.0,3.0,0.0,1.0,0.0,48,2.0,640,0.0,0.0,0.0,0.0,0.0,1.0,0.0,362,0.0,0.0,0.0
인천,"2,453",2.0,0.0,2.0,1.0,12.0,1.0,207,5.0,753,0.0,0.0,0.0,0.0,0.0,21.0,0.0,279,0.0,0.0,0.0
광주,"1,128",0.0,0.0,2.0,2.0,1.0,34.0,78,10.0,"1,794",0.0,0.0,0.0,0.0,0.0,0.0,0.0,377,0.0,0.0,0.0
대전,"1,245",0.0,0.0,15.0,1.0,3.0,1.0,60,3.0,274,0.0,0.0,0.0,0.0,0.0,1.0,0.0,241,0.0,0.0,0.0
울산,"1,349",0.0,0.0,1.0,1.0,1.0,0.0,13,1.0,874,0.0,0.0,0.0,0.0,0.0,14.0,0.0,383,0.0,0.0,0.0
경기,"13,671",1.0,0.0,22.0,8.0,11.0,5.0,647,21.0,"4,939",0.0,0.0,0.0,1.0,0.0,57.0,0.0,"2,033",0.0,0.0,0.0
강원,"1,527",0.0,0.0,0.0,0.0,0.0,0.0,53,3.0,517,0.0,0.0,0.0,1.0,0.0,15.0,0.0,92,0.0,0.0,0.0
충북,933,0.0,0.0,2.0,3.0,3.0,3.0,55,0.0,334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,109,0.0,0.0,0.0
충남,"1,837",0.0,0.0,8.0,2.0,5.0,1.0,57,7.0,795,0.0,0.0,0.0,0.0,0.0,6.0,0.0,356,0.0,0.0,0.0
전북,"1,921",0.0,0.0,5.0,4.0,0.0,0.0,70,2.0,"2,326",0.0,0.0,0.0,0.0,0.0,6.0,0.0,192,0.0,0.0,0.0
전남,"2,378",0.0,0.0,13.0,2.0,6.0,6.0,70,9.0,"1,340",0.0,0.0,0.0,0.0,0.0,4.0,1.0,313,0.0,0.0,0.0
경북,"1,719",0.0,0.0,2.0,3.0,4.0,3.0,28,19.0,"1,118",0.0,0.0,0.0,1.0,0.0,12.0,0.0,325,0.0,0.0,0.0
경남,"4,297",0.0,0.0,18.0,5.0,17.0,4.0,31,77.0,"4,237",0.0,0.0,0.0,0.0,0.0,30.0,1.0,608,0.0,0.0,0.0
제주,"1,008",0.0,0.0,1.0,0.0,0.0,4.0,8,5.0,197,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45,0.0,0.0,0.0
세종,83,0.0,0.0,0.0,0.0,1.0,1.0,5,1.0,35,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8,0.0,0.0,0.0
미상,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
